timestamp,open,high,low,close
2022-05-13,1.22063,1.22628,1.21530,1.22610
2022-05-12,1.22489,1.22530,1.21630,1.21955
2022-05-11,1.23137,1.24001,1.22350,1.22463
2022-05-10,1.23268,1.23757,1.22900,1.23138
2022-05-09,1.23427,1.24058,1.22590,1.23278
2022-05-06,1.23562,1.23802,1.22740,1.23370
2022-05-05,1.26324,1.26340,1.23230,1.23566
2022-05-04,1.24950,1.26382,1.24500,1.26329
2022-05-03,1.24860,1.25673,1.24680,1.24937
2022-05-02,1.25780,1.25971,1.24710,1.24879
2022-04-29,1.24558,1.26143,1.24500,1.25710
2022-04-28,1.25394,1.25698,1.24090,1.24554
2022-04-27,1.25713,1.26017,1.25000,1.25396
2022-04-26,1.27420,1.27723,1.25680,1.25711
2022-04-25,1.28356,1.28392,1.26950,1.27420
2022-04-22,1.30328,1.30350,1.28200,1.28370
2022-04-21,1.30620,1.30902,1.30210,1.30320
2022-04-20,1.29977,1.30705,1.29940,1.30615
2022-04-19,1.30083,1.30407,1.29790,1.29980
2022-04-18,1.30551,1.30645,1.30030,1.30078
2022-04-15,1.30730,1.30780,1.30433,1.30580
2022-04-14,1.31154,1.31472,1.30320,1.30707
2022-04-13,1.30017,1.31179,1.29710,1.31147
2022-04-12,1.30283,1.30537,1.29920,1.30010
2022-04-11,1.30314,1.30566,1.29870,1.30294
2022-04-08,1.30735,1.30771,1.29800,1.30310
2022-04-07,1.30637,1.31065,1.30500,1.30740
2022-04-06,1.30728,1.31080,1.30440,1.30650
2022-04-05,1.31151,1.31667,1.30650,1.30712
2022-04-04,1.31064,1.31370,1.30910,1.31140
2022-04-01,1.31352,1.31515,1.30850,1.31120
2022-03-31,1.31329,1.31758,1.31040,1.31371
2022-03-30,1.30960,1.31825,1.30870,1.31332
2022-03-29,1.30919,1.31600,1.30490,1.30970
2022-03-28,1.31796,1.31849,1.30656,1.30921
2022-03-25,1.31817,1.32247,1.31580,1.31880
2022-03-24,1.32021,1.32141,1.31550,1.31830
2022-03-23,1.32575,1.32985,1.31740,1.32025
2022-03-22,1.31644,1.32737,1.31170,1.32583
2022-03-21,1.31708,1.32102,1.31240,1.31622
2022-03-18,1.31483,1.31970,1.31070,1.31800
2022-03-17,1.31433,1.32110,1.30850,1.31455
2022-03-16,1.30370,1.31564,1.30330,1.31420
2022-03-15,1.30030,1.30887,1.29970,1.30355
2022-03-14,1.30346,1.30790,1.29980,1.30012
2022-03-11,1.30839,1.31250,1.30250,1.30343
2022-03-10,1.31798,1.31947,1.30780,1.30850
2022-03-09,1.30992,1.31898,1.30850,1.31757
2022-03-08,1.31044,1.31446,1.30800,1.31012
2022-03-07,1.32258,1.32406,1.30990,1.31033
2022-03-04,1.33470,1.33545,1.31990,1.32287
2022-03-03,1.34062,1.34180,1.33150,1.33448
2022-03-02,1.33205,1.34077,1.32700,1.34052
2022-03-01,1.34137,1.34371,1.33000,1.33250
2022-02-28,1.33118,1.34315,1.33118,1.34161
2022-02-25,1.33721,1.34388,1.33650,1.34053
2022-02-24,1.35408,1.35494,1.32710,1.33749
2022-02-23,1.35802,1.36206,1.35330,1.35430
2022-02-22,1.36000,1.36046,1.35360,1.35801
2022-02-21,1.35926,1.36385,1.35830,1.35973
2022-02-18,1.36142,1.36427,1.35710,1.35856
2022-02-17,1.35823,1.36381,1.35530,1.36130
2022-02-16,1.35331,1.36010,1.35249,1.35860
2022-02-15,1.35229,1.35669,1.34850,1.35341
2022-02-14,1.35506,1.35720,1.34930,1.35233
2022-02-11,1.35538,1.36095,1.35110,1.35584
2022-02-10,1.35340,1.36435,1.35210,1.35560
2022-02-09,1.35438,1.35893,1.35250,1.35340
2022-02-08,1.35351,1.35640,1.35050,1.35420
2022-02-07,1.35321,1.35506,1.34890,1.35357
2022-02-04,1.35929,1.36151,1.35020,1.35269
2022-02-03,1.35780,1.36279,1.35350,1.35947
2022-02-02,1.35198,1.35875,1.35122,1.35757
2022-02-01,1.34429,1.35282,1.34310,1.35205
2022-01-31,1.33937,1.34605,1.33850,1.34471
2022-01-28,1.33816,1.34327,1.33630,1.33980
2022-01-27,1.34589,1.34679,1.33560,1.33819
2022-01-26,1.35030,1.35245,1.34420,1.34622
2022-01-25,1.34860,1.35187,1.34340,1.35015
2022-01-24,1.35512,1.35653,1.34380,1.34870
2022-01-21,1.35980,1.36023,1.35440,1.35504
2022-01-20,1.36115,1.36617,1.35840,1.35992
2022-01-19,1.35910,1.36489,1.35850,1.36120
2022-01-18,1.36441,1.36615,1.35710,1.35960
2022-01-17,1.36687,1.36898,1.36350,1.36460
2022-01-14,1.37020,1.37429,1.36510,1.36762
2022-01-13,1.36971,1.37488,1.36968,1.37050
2022-01-12,1.36358,1.37144,1.36190,1.37000
2022-01-11,1.35726,1.36363,1.35590,1.36357
2022-01-10,1.35819,1.36036,1.35300,1.35740
2022-01-07,1.35284,1.35974,1.35240,1.35860
2022-01-06,1.35517,1.35590,1.34870,1.35290
2022-01-05,1.35261,1.35985,1.35197,1.35541
2022-01-04,1.34749,1.35573,1.34580,1.35290
2022-01-03,1.35290,1.35353,1.34290,1.34790
2021-12-31,1.34971,1.35505,1.34630,1.35177
2021-12-30,1.34869,1.35219,1.34520,1.34980
2021-12-29,1.34299,1.34997,1.34060,1.34890
2021-12-28,1.34386,1.34617,1.34130,1.34340
2021-12-27,1.33900,1.34451,1.33871,1.34390
